 	EDGE_TIME (sec)	Y Location (mean)(micron)	X Location (mean)(micron)	Z Location (mean)(micron)
1	7.500	8.626	7.674	3.098
2	22.500	8.653	7.739	3.149
3	37.500	8.681	7.764	3.136
4	52.500	8.725	7.778	3.137
5	67.500	8.729	7.785	3.149
6	82.500	8.728	7.798	3.151
7	97.500	8.744	7.848	3.192
8	112.500	8.752	7.882	3.192
9	127.500	8.743	7.896	3.149
10	142.500	8.734	7.909	3.141
11	157.500	8.737	7.922	3.195
12	172.500	8.740	7.949	3.205
13	187.500	8.739	8.007	3.222
14	202.500	8.739	8.053	3.229
15	217.500	8.726	8.067	3.212
16	232.500	8.719	8.093	3.198
17	247.500	8.726	8.133	3.147
18	262.500	8.686	8.168	3.154
19	277.500	8.681	8.194	3.201
20	292.500	8.684	8.205	3.197
21	307.500	8.651	8.195	3.191
22	322.500	8.649	8.175	3.215
23	337.500	8.685	8.198	3.262
24	352.500	8.725	8.236	3.297
25	367.500	8.735	8.260	3.296
26	382.500	8.738	8.274	3.283
27	397.500	8.736	8.258	3.291
28	412.500	8.744	8.296	3.322
29	427.500	8.743	8.360	3.339
30	442.500	8.746	8.385	3.329
31	457.500	8.751	8.398	3.338
32	472.500	8.752	8.421	3.349
33	487.500	8.766	8.452	3.362
34	502.500	8.774	8.483	3.385
35	517.500	8.769	8.521	3.386
36	532.500	8.811	8.548	3.376
37	547.500	8.864	8.585	3.382
38	562.500	8.871	8.645	3.356
39	577.500	8.877	8.705	3.344
40	592.500	8.890	8.732	3.353
41	607.500	8.898	8.726	3.352
42	622.500	8.888	8.768	3.336
43	637.500	8.874	8.805	3.314
44	652.500	8.874	8.794	3.311
45	667.500	8.878	8.792	3.310
46	682.500	8.886	8.820	3.304
47	697.500	8.885	8.857	3.305
48	712.500	8.882	8.866	3.303
49	727.500	8.878	8.802	3.289
50	742.500	8.934	8.747	3.286
51	757.500	8.992	8.761	3.127
52	772.500	8.874	8.531	2.948
53	787.500	8.744	8.278	2.930
54	802.500	8.673	8.252	2.945
55	817.500	8.615	8.213	2.962
56	832.500	8.607	8.229	2.960
57	847.500	8.567	8.260	2.941
58	862.500	8.527	8.222	2.904
59	877.500	8.509	8.175	2.900
60	892.500	8.495	8.135	2.941
61	907.500	8.498	8.126	2.964
62	922.500	8.498	8.153	2.980
63	937.500	8.502	8.176	2.988
64	952.500	8.516	8.163	2.976
65	967.500	8.562	8.145	2.960
66	982.500	8.595	8.133	2.992
67	997.500	8.587	8.170	3.028
68	1012.500	8.599	8.200	3.027
69	1027.500	8.613	8.178	3.035
70	1042.500	8.619	8.179	3.051
71	1057.500	8.624	8.183	3.075
72	1072.500	8.673	8.233	3.100
73	1087.500	8.732	8.281	3.158
74	1102.500	8.744	8.317	3.187
75	1117.500	8.750	8.365	3.166
76	1132.500	8.753	8.395	3.172
77	1147.500	8.761	8.441	3.185
78	1162.500	8.768	8.489	3.191
79	1177.500	8.768	8.497	3.186
80	1192.500	8.769	8.491	3.140
81	1207.500	8.770	8.516	3.146
82	1222.500	8.780	8.555	3.169
83	1237.500	8.775	8.588	3.158
84	1252.500	8.757	8.607	3.161
85	1267.500	8.748	8.594	3.136
86	1282.500	8.739	8.591	3.101
87	1297.500	8.740	8.638	3.092
88	1312.500	8.730	8.683	3.105
89	1327.500	8.723	8.706	3.137
90	1342.500	8.695	8.711	3.156
91	1357.500	8.691	8.726	3.124
92	1372.500	8.730	8.760	3.137
93	1387.500	8.741	8.789	3.196
94	1402.500	8.744	8.799	3.219
95	1417.500	8.741	8.787	3.239
96	1432.500	8.742	8.814	3.248
97	1447.500	8.739	8.831	3.246
98	1462.500	8.744	8.830	3.244
99	1477.500	8.747	8.840	3.242
100	1492.500	8.757	8.844	3.259
101	1507.500	8.769	8.879	3.287
102	1522.500	8.765	8.909	3.325
103	1537.500	8.807	8.896	3.335
104	1552.500	8.850	8.884	3.309
105	1567.500	8.856	8.903	3.289
106	1582.500	8.860	8.863	3.273
107	1597.500	8.867	8.841	3.249
108	1612.500	8.872	8.878	3.249
109	1627.500	8.891	8.912	3.222
110	1642.500	8.910	8.943	3.208
111	1657.500	8.943	8.965	3.218
112	1672.500	8.976	8.998	3.210
113	1687.500	8.976	9.046	3.192
114	1702.500	8.981	9.099	3.173
115	1717.500	8.988	9.091	3.192
116	1732.500	8.995	9.060	3.241
117	1747.500	9.003	9.076	3.249
118	1762.500	9.008	9.118	3.227
119	1777.500	9.002	9.140	3.237
120	1792.500	8.992	9.129	3.229
121	1807.500	8.969	9.106	3.142
122	1822.500	8.895	8.959	3.019
123	1837.500	8.858	8.674	2.935
124	1852.500	8.939	8.527	2.831
125	1867.500	8.816	8.257	2.690
126	1882.500	8.573	8.022	2.640
127	1897.500	8.517	8.040	2.679
128	1912.500	8.509	8.016	2.700
129	1927.500	8.498	7.996	2.711
130	1942.500	8.496	7.988	2.714
131	1957.500	8.495	8.005	2.721
132	1972.500	8.493	7.999	2.735
133	1987.500	8.486	7.978	2.725
134	2002.500	8.485	7.955	2.717
135	2017.500	8.487	7.919	2.728
