 	EDGE_TIME (sec)	Y Location (mean)(micron)	X Location (mean)(micron)	Z Location (mean)(micron)
1	7.500	5.481	7.057	2.841
2	22.500	5.490	7.024	2.840
3	37.500	5.491	7.017	2.877
4	52.500	5.493	7.016	2.877
5	67.500	5.498	7.038	2.906
6	82.500	5.504	7.051	2.936
7	97.500	5.502	7.056	2.944
8	112.500	5.508	7.062	2.943
9	127.500	5.520	7.112	2.963
10	142.500	5.574	7.158	2.988
11	157.500	5.631	7.180	2.994
12	172.500	5.630	7.217	2.978
13	187.500	5.632	7.217	2.970
14	202.500	5.642	7.249	2.991
15	217.500	5.667	7.303	3.018
16	232.500	5.705	7.326	3.025
17	247.500	5.712	7.324	3.016
18	262.500	5.720	7.338	3.007
19	277.500	5.733	7.385	2.996
20	292.500	5.735	7.420	3.000
21	307.500	5.729	7.444	2.997
22	322.500	5.719	7.477	3.000
23	337.500	5.730	7.516	3.019
24	352.500	5.735	7.540	3.031
25	367.500	5.703	7.560	3.032
26	382.500	5.661	7.591	3.014
27	397.500	5.639	7.628	3.012
28	412.500	5.634	7.649	3.033
29	427.500	5.636	7.664	3.027
30	442.500	5.650	7.693	3.024
31	457.500	5.658	7.729	3.036
32	472.500	5.653	7.740	3.049
33	487.500	5.690	7.743	3.072
34	502.500	5.721	7.759	3.079
35	517.500	5.686	7.770	3.087
36	532.500	5.692	7.772	3.102
37	547.500	5.724	7.792	3.125
38	562.500	5.741	7.818	3.136
39	577.500	5.759	7.844	3.178
40	592.500	5.751	7.884	3.230
41	607.500	5.746	7.902	3.228
42	622.500	5.765	7.930	3.255
43	637.500	5.816	7.975	3.263
44	652.500	5.810	8.001	3.266
45	667.500	5.814	8.017	3.293
46	682.500	5.862	8.028	3.302
47	697.500	5.882	8.062	3.293
48	712.500	5.901	8.090	3.284
49	727.500	5.946	8.079	3.187
50	750.000	5.916	7.815	3.084
51	772.500	5.805	7.497	3.014
52	787.500	5.705	7.353	2.914
53	802.500	5.700	7.281	2.888
54	817.500	5.753	7.282	2.910
55	832.500	5.752	7.268	2.917
56	847.500	5.749	7.262	2.912
57	862.500	5.745	7.267	2.867
58	877.500	5.737	7.280	2.865
59	892.500	5.733	7.267	2.902
60	907.500	5.692	7.249	2.894
61	922.500	5.644	7.251	2.889
62	937.500	5.637	7.261	2.900
63	952.500	5.638	7.273	2.896
64	967.500	5.636	7.276	2.901
65	982.500	5.625	7.263	2.907
66	997.500	5.595	7.232	2.847
67	1012.500	5.590	7.203	2.830
68	1027.500	5.621	7.220	2.890
69	1042.500	5.633	7.258	2.926
70	1057.500	5.632	7.254	2.935
71	1072.500	5.629	7.212	2.959
72	1087.500	5.625	7.183	2.991
73	1102.500	5.612	7.191	3.021
74	1117.500	5.623	7.223	3.062
75	1132.500	5.647	7.262	3.081
76	1147.500	5.646	7.270	3.050
77	1162.500	5.682	7.272	3.052
78	1177.500	5.722	7.312	3.127
79	1192.500	5.728	7.371	3.126
80	1207.500	5.728	7.392	3.083
81	1222.500	5.731	7.387	3.100
82	1237.500	5.744	7.398	3.105
83	1252.500	5.762	7.451	3.138
84	1267.500	5.776	7.518	3.142
85	1282.500	5.813	7.529	3.099
86	1297.500	5.850	7.526	3.095
87	1312.500	5.860	7.559	3.180
88	1327.500	5.868	7.622	3.220
89	1342.500	5.873	7.650	3.141
90	1357.500	5.875	7.641	3.104
91	1372.500	5.871	7.643	3.099
92	1387.500	5.867	7.672	3.099
93	1402.500	5.865	7.704	3.095
94	1417.500	5.864	7.714	3.082
95	1432.500	5.867	7.736	3.123
96	1447.500	5.871	7.777	3.132
97	1462.500	5.868	7.833	3.127
