 	EDGE_TIME (sec)	Y Location (mean)(micron)	X Location (mean)(micron)	Z Location (mean)(micron)
1	7.500	8.058	8.981	3.055
2	22.500	8.042	8.985	3.071
3	37.500	8.014	9.029	3.017
4	52.500	8.039	9.078	3.013
5	67.500	8.031	9.092	3.125
6	82.500	8.007	9.083	3.187
7	97.500	8.043	9.090	3.145
8	112.500	8.050	9.135	3.146
9	127.500	8.007	9.153	3.207
10	142.500	7.983	9.084	3.142
11	157.500	7.922	8.903	3.043
12	172.500	7.883	8.603	2.880
13	187.500	7.889	8.415	2.849
14	202.500	7.882	8.435	2.953
15	217.500	7.881	8.472	2.975
16	232.500	7.875	8.511	2.997
17	247.500	7.857	8.553	3.001
18	262.500	7.858	8.560	3.002
19	277.500	7.869	8.555	3.010
20	292.500	7.878	8.555	3.022
21	307.500	7.893	8.598	3.050
22	322.500	7.937	8.644	3.049
23	337.500	7.981	8.656	3.022
24	352.500	7.986	8.673	3.002
25	367.500	7.993	8.707	2.993
26	382.500	8.002	8.730	2.996
27	397.500	8.019	8.715	3.013
28	412.500	8.027	8.701	3.034
29	427.500	8.029	8.695	3.041
30	442.500	8.062	8.723	3.033
31	457.500	8.054	8.755	3.012
32	472.500	8.011	8.758	3.009
33	487.500	8.007	8.761	3.024
34	502.500	8.006	8.779	3.035
35	517.500	8.001	8.821	3.024
36	532.500	8.002	8.857	3.000
37	547.500	7.997	8.859	3.023
38	562.500	7.986	8.869	3.022
39	577.500	7.989	8.903	3.002
40	592.500	8.003	8.935	3.019
41	607.500	8.012	8.959	3.034
42	622.500	8.001	8.975	3.024
43	637.500	7.987	8.982	3.024
44	652.500	7.992	8.986	3.049
45	667.500	8.000	8.993	3.070
46	682.500	8.004	8.990	3.131
47	697.500	8.010	9.015	3.124
48	712.500	8.006	9.054	3.140
49	727.500	8.007	9.061	3.213
50	742.500	8.055	9.088	3.215
51	757.500	8.061	9.113	3.213
52	772.500	8.009	9.114	3.215
53	787.500	8.002	9.038	3.186
54	802.500	7.991	8.832	3.078
55	817.500	7.933	8.623	2.937
56	832.500	7.941	8.592	2.902
57	847.500	7.983	8.643	2.939
58	862.500	7.983	8.654	2.962
59	877.500	7.994	8.674	2.978
60	892.500	8.045	8.703	2.989
61	907.500	8.096	8.730	2.976
62	922.500	8.071	8.712	2.976
63	937.500	8.076	8.731	2.985
64	952.500	8.067	8.781	2.968
65	967.500	8.067	8.789	2.965
66	982.500	8.113	8.782	2.980
67	997.500	8.116	8.764	2.997
68	1012.500	8.116	8.784	2.990
69	1027.500	8.115	8.812	2.995
70	1042.500	8.117	8.810	3.001
71	1057.500	8.106	8.819	2.994
72	1072.500	8.094	8.823	2.891
73	1087.500	8.100	8.863	2.889
74	1102.500	8.106	8.908	3.008
75	1117.500	8.062	8.893	3.017
76	1132.500	8.016	8.902	3.004
77	1147.500	8.014	8.932	2.995
78	1162.500	8.015	8.937	3.001
79	1177.500	8.017	8.933	2.996
80	1192.500	8.019	8.957	2.976
81	1207.500	8.017	8.990	2.988
82	1222.500	8.034	8.970	3.027
83	1237.500	8.057	8.949	3.061
84	1252.500	8.075	8.975	3.069
85	1267.500	8.094	9.014	3.061
86	1282.500	8.099	9.026	3.085
87	1297.500	8.104	9.042	3.150
88	1312.500	8.108	9.070	3.190
89	1327.500	8.115	9.093	3.184
90	1342.500	8.115	9.107	3.201
91	1357.500	8.128	9.091	3.215
92	1372.500	8.145	9.082	3.205
93	1387.500	8.142	9.109	3.152
94	1402.500	8.142	9.159	3.139
95	1417.500	8.188	9.178	3.194
96	1432.500	8.240	9.172	3.213
97	1447.500	8.264	9.184	3.214
98	1462.500	8.315	9.296	3.353
99	1477.500	8.295	9.347	3.368
100	1492.500	8.293	9.213	3.169
101	1507.500	8.219	9.112	3.128
102	1522.500	8.178	9.083	3.121
103	1537.500	8.256	9.043	3.043
104	1552.500	8.236	8.971	3.035
105	1567.500	8.221	8.936	3.022
106	1582.500	8.230	8.972	2.997
107	1597.500	8.234	8.965	3.005
108	1612.500	8.178	8.934	3.022
109	1627.500	8.134	8.949	3.063
110	1642.500	8.126	8.980	3.057
111	1657.500	8.116	9.005	3.039
112	1672.500	8.126	9.015	3.070
113	1687.500	8.124	9.016	3.133
114	1702.500	8.112	9.013	3.105
115	1717.500	8.107	9.028	3.045
116	1732.500	8.061	9.037	3.073
117	1747.500	8.022	9.015	3.095
118	1762.500	8.020	9.012	3.144
119	1777.500	8.013	9.017	3.199
120	1792.500	8.015	9.023	3.208
121	1807.500	8.012	9.043	3.215
122	1822.500	8.002	9.076	3.221
123	1837.500	8.000	9.089	3.209
124	1852.500	8.005	9.097	3.195
125	1867.500	8.004	9.128	3.194
126	1882.500	8.015	9.150	3.148
127	1897.500	8.026	9.190	3.093
128	1912.500	8.027	9.216	3.060
129	1927.500	8.030	9.227	3.039
130	1942.500	8.067	9.255	3.017
131	1957.500	8.115	9.294	2.964
132	1972.500	8.130	9.352	2.905
133	1987.500	8.180	9.398	2.814
134	2002.500	8.190	9.430	2.696
135	2017.500	8.087	9.438	2.352
136	2032.500	8.052	9.375	1.648
137	2047.500	8.168	9.286	0.617
138	2062.500	8.312	9.312	0.000
139	2077.500	8.625	9.250	0.000
140	2092.500	9.000	9.188	0.000
141	2107.500	9.188	9.312	0.000
142	2122.500	9.188	9.500	0.000
