 	EDGE_TIME (sec)	Y Location (mean)(micron)	X Location (mean)(micron)	Z Location (mean)(micron)
1	7.500	5.565	8.971	5.243
2	22.500	5.599	8.985	5.203
3	37.500	5.607	9.000	5.186
4	52.500	5.617	9.031	5.164
5	67.500	5.623	9.082	5.149
6	82.500	5.633	9.116	5.140
7	97.500	5.644	9.139	5.117
8	112.500	5.689	9.157	5.094
9	127.500	5.730	9.183	5.083
10	142.500	5.734	9.220	5.068
11	157.500	5.737	9.259	5.052
12	172.500	5.745	9.274	5.041
13	187.500	5.762	9.302	5.017
14	202.500	5.763	9.352	4.980
15	217.500	5.758	9.376	4.973
16	232.500	5.760	9.386	4.915
17	247.500	5.764	9.400	4.857
18	262.500	5.753	9.426	4.838
19	277.500	5.753	9.475	4.808
20	292.500	5.760	9.519	4.807
21	307.500	5.752	9.546	4.774
22	322.500	5.752	9.571	4.725
23	337.500	5.755	9.579	4.715
24	352.500	5.771	9.574	4.715
25	367.500	5.781	9.601	4.713
26	382.500	5.770	9.650	4.713
27	397.500	5.764	9.679	4.725
28	412.500	5.766	9.671	4.737
29	427.500	5.814	9.660	4.739
30	442.500	5.828	9.683	4.736
31	457.500	5.780	9.693	4.735
32	472.500	5.824	9.669	4.666
33	487.500	5.896	9.620	4.590
34	502.500	5.950	9.557	4.564
35	517.500	5.988	9.565	4.541
36	532.500	5.990	9.638	4.515
37	547.500	5.999	9.670	4.506
38	562.500	5.997	9.685	4.511
39	577.500	6.003	9.703	4.483
40	592.500	6.015	9.733	4.475
41	607.500	6.018	9.764	4.486
42	622.500	6.066	9.772	4.481
43	637.500	6.113	9.779	4.462
44	652.500	6.118	9.821	4.411
45	667.500	6.123	9.885	4.386
46	682.500	6.127	9.910	4.393
47	697.500	6.132	9.910	4.418
48	712.500	6.145	9.912	4.381
49	727.500	6.158	9.932	4.332
50	742.500	6.152	9.943	4.316
51	757.500	6.144	9.954	4.321
52	772.500	6.170	9.960	4.331
53	795.000	6.098	9.603	4.189
54	817.500	6.070	9.222	3.945
55	832.500	6.119	8.927	3.728
56	847.500	5.992	8.429	3.575
57	862.500	5.835	8.269	3.514
58	877.500	5.812	8.339	3.544
59	892.500	5.810	8.332	3.561
60	907.500	5.778	8.332	3.534
