 	EDGE_TIME (sec)	Y Location (mean)(micron)	X Location (mean)(micron)	Z Location (mean)(micron)
61	922.500	5.757	8.307	3.531
62	937.500	5.746	8.272	3.560
63	952.500	5.748	8.241	3.580
64	967.500	5.742	8.266	3.565
65	982.500	5.743	8.283	3.559
66	997.500	5.747	8.247	3.591
67	1012.500	5.756	8.232	3.580
68	1027.500	5.768	8.215	3.579
69	1042.500	5.765	8.204	3.602
70	1057.500	5.756	8.215	3.604
71	1072.500	5.804	8.266	3.610
72	1087.500	5.841	8.316	3.609
73	1102.500	5.842	8.302	3.596
74	1117.500	5.859	8.281	3.610
75	1132.500	5.859	8.306	3.656
76	1147.500	5.855	8.329	3.674
77	1162.500	5.856	8.380	3.648
78	1177.500	5.871	8.428	3.637
79	1192.500	5.882	8.429	3.666
80	1207.500	5.893	8.472	3.737
81	1222.500	5.951	8.528	3.745
82	1237.500	5.989	8.549	3.685
83	1252.500	5.992	8.610	3.665
84	1267.500	6.005	8.667	3.646
85	1282.500	6.017	8.694	3.698
86	1297.500	6.032	8.714	3.756
87	1312.500	6.028	8.722	3.763
88	1327.500	6.034	8.723	3.741
89	1342.500	6.086	8.766	3.687
90	1357.500	6.110	8.834	3.674
91	1372.500	6.106	8.847	3.663
92	1387.500	6.110	8.851	3.662
93	1402.500	6.105	8.864	3.660
94	1417.500	6.111	8.889	3.647
95	1432.500	6.122	8.923	3.652
96	1447.500	6.120	8.974	3.621
97	1462.500	6.126	9.013	3.609
98	1477.500	6.132	9.017	3.615
99	1492.500	6.127	9.009	3.604
100	1507.500	6.124	9.022	3.613
101	1522.500	6.125	9.052	3.636
102	1537.500	6.128	9.096	3.653
103	1552.500	6.136	9.115	3.635
104	1567.500	6.140	9.107	3.617
105	1582.500	6.142	9.112	3.639
106	1597.500	6.148	9.112	3.660
107	1612.500	6.193	9.148	3.648
108	1627.500	6.219	9.195	3.655
109	1642.500	6.219	9.208	3.691
110	1657.500	6.234	9.213	3.698
111	1672.500	6.236	9.233	3.693
112	1687.500	6.272	9.287	3.705
113	1702.500	6.284	9.339	3.743
114	1717.500	6.262	9.371	3.784
115	1732.500	6.299	9.382	3.748
116	1747.500	6.346	9.392	3.743
117	1762.500	6.371	9.439	3.786
118	1777.500	6.384	9.491	3.780
119	1792.500	6.389	9.513	3.725
120	1807.500	6.394	9.532	3.673
121	1822.500	6.433	9.607	3.677
122	1837.500	6.475	9.661	3.689
123	1852.500	6.476	9.661	3.701
124	1867.500	6.481	9.675	3.754
125	1882.500	6.441	9.689	3.804
126	1897.500	6.437	9.716	3.804
127	1912.500	6.480	9.758	3.811
128	1927.500	6.481	9.775	3.802
129	1942.500	6.438	9.786	3.730
130	1957.500	6.428	9.824	3.678
131	1972.500	6.465	9.867	3.662
132	1987.500	6.431	9.890	3.654
133	2002.500	6.435	9.913	3.660
134	2017.500	6.476	9.926	3.667
135	2032.500	6.465	9.947	3.661
136	2047.500	6.427	9.991	3.717
137	2062.500	6.435	10.014	3.734
138	2077.500	6.471	10.010	3.683
139	2092.500	6.473	9.991	3.659
140	2107.500	6.480	9.997	3.730
141	2122.500	6.487	10.037	3.825
142	2137.500	6.492	10.053	3.858
143	2152.500	6.494	10.068	3.847
144	2167.500	6.503	10.105	3.823
145	2182.500	6.506	10.132	3.836
146	2197.500	6.507	10.150	3.839
147	2212.500	6.561	10.174	3.855
148	2227.500	6.606	10.199	3.846
149	2242.500	6.606	10.206	3.821
150	2257.500	6.564	10.194	3.722
151	2272.500	6.507	10.038	3.617
152	2287.500	6.429	9.723	3.560
153	2302.500	6.303	9.344	3.443
154	2317.500	6.254	8.988	3.311
155	2332.500	6.319	8.812	3.257
156	2347.500	6.378	8.814	3.263
157	2362.500	6.392	8.837	3.270
158	2377.500	6.443	8.864	3.266
159	2392.500	6.485	8.949	3.243
160	2407.500	6.485	8.971	3.217
161	2422.500	6.485	8.935	3.226
162	2437.500	6.491	8.920	3.213
163	2452.500	6.489	8.900	3.188
164	2467.500	6.486	8.884	3.202
