 	EDGE_TIME (sec)	Y Location (mean)(micron)	X Location (mean)(micron)	Z Location (mean)(micron)
1	7.500	8.316	7.195	6.022
2	22.500	8.280	7.189	6.213
3	37.500	8.313	7.247	6.325
4	52.500	8.308	7.330	6.592
5	67.500	8.269	7.395	6.839
6	82.500	8.273	7.425	6.987
7	97.500	8.264	7.459	7.265
8	112.500	8.269	7.503	7.606
9	127.500	8.309	7.501	7.988
10	142.500	8.308	7.517	8.268
11	157.500	8.278	7.573	8.511
12	172.500	8.319	7.634	8.690
13	187.500	8.318	7.691	8.812
14	202.500	8.320	7.757	8.931
15	217.500	8.359	7.849	9.025
16	232.500	8.369	7.947	9.129
17	247.500	8.377	8.015	9.229
18	262.500	8.379	8.083	9.307
19	277.500	8.384	8.169	9.402
