 	EDGE_TIME (sec)	Y Location (mean)(micron)	X Location (mean)(micron)	Z Location (mean)(micron)
1	7.500	7.258	8.022	3.864
2	22.500	7.195	7.906	3.855
3	37.500	7.177	7.841	3.905
4	52.500	7.189	7.928	4.033
5	67.500	7.155	7.990	4.142
6	82.500	7.157	8.041	4.201
7	97.500	7.181	8.087	4.247
8	112.500	7.162	8.129	4.317
9	127.500	7.123	8.171	4.390
10	142.500	7.251	8.095	4.617
11	157.500	7.375	8.018	4.903
12	172.500	7.312	8.008	4.981
13	187.500	7.143	7.969	5.193
14	202.500	7.020	7.927	5.454
15	217.500	7.070	7.914	5.650
16	232.500	7.199	7.959	5.898
17	247.500	7.267	7.982	6.011
18	262.500	7.265	7.996	6.057
19	277.500	7.316	8.025	6.155
20	292.500	7.363	8.041	6.246
21	307.500	7.334	8.061	6.319
22	322.500	7.285	8.048	6.335
23	337.500	7.309	8.033	6.336
24	352.500	7.311	8.049	6.422
25	367.500	7.314	8.062	6.492
26	382.500	7.358	8.060	6.489
27	397.500	7.356	8.092	6.516
28	412.500	7.360	8.132	6.561
29	427.500	7.365	8.140	6.581
30	442.500	7.363	8.137	6.572
31	457.500	7.369	8.130	6.554
32	472.500	7.377	7.959	6.425
33	487.500	7.321	7.665	6.264
34	502.500	7.267	7.573	6.254
35	517.500	7.270	7.633	6.301
36	532.500	7.312	7.708	6.321
37	547.500	7.361	7.754	6.288
38	562.500	7.366	7.790	6.271
39	577.500	7.362	7.829	6.278
40	592.500	7.360	7.857	6.278
41	607.500	7.343	7.915	6.340
42	622.500	7.346	7.912	6.336
43	637.500	7.359	7.895	6.274
44	652.500	7.357	7.920	6.275
45	667.500	7.358	7.915	6.265
46	682.500	7.310	7.923	6.258
47	697.500	7.259	7.961	6.267
48	712.500	7.252	7.986	6.262
49	727.500	7.243	7.980	6.233
50	742.500	7.236	7.978	6.230
51	757.500	7.236	7.990	6.243
52	772.500	7.229	7.981	6.259
53	787.500	7.226	8.011	6.283
54	802.500	7.229	8.030	6.280
55	817.500	7.223	8.007	6.285
56	832.500	7.178	8.004	6.311
57	847.500	7.181	8.019	6.324
58	862.500	7.226	8.042	6.330
59	877.500	7.186	8.036	6.308
60	892.500	7.155	8.053	6.304
61	907.500	7.156	8.056	6.328
62	922.500	7.180	8.061	6.332
63	937.500	7.224	8.104	6.334
64	952.500	7.244	8.143	6.339
65	967.500	7.243	8.176	6.348
66	982.500	7.238	8.192	6.340
67	997.500	7.247	8.223	6.338
68	1012.500	7.256	8.273	6.349
69	1027.500	7.267	8.316	6.348
70	1042.500	7.277	8.338	6.339
71	1057.500	7.315	8.365	6.332
72	1072.500	7.357	8.397	6.313
73	1087.500	7.361	8.453	6.289
74	1102.500	7.363	8.512	6.266
75	1117.500	7.377	8.549	6.223
76	1132.500	7.387	8.603	6.189
77	1147.500	7.402	8.662	6.148
78	1162.500	7.444	8.682	6.087
79	1177.500	7.467	8.696	6.031
80	1192.500	7.427	8.727	5.986
81	1207.500	7.392	8.747	5.936
82	1222.500	7.398	8.737	5.886
83	1237.500	7.326	8.676	6.974
84	1252.500	7.313	8.447	6.727
85	1267.500	7.311	8.146	5.362
86	1282.500	7.245	8.090	5.343
87	1297.500	7.231	8.177	5.330
88	1312.500	7.184	8.231	5.317
89	1327.500	7.144	8.259	5.299
90	1342.500	7.140	8.272	5.240
91	1357.500	7.182	8.288	5.179
92	1372.500	7.187	8.312	5.135
93	1387.500	7.153	8.335	5.114
94	1402.500	7.145	8.348	5.105
95	1417.500	7.137	8.358	5.079
96	1432.500	7.137	8.378	5.064
97	1447.500	7.137	8.402	5.054
98	1462.500	7.137	8.424	5.050
99	1477.500	7.151	8.443	5.027
100	1492.500	7.156	8.484	5.007
101	1507.500	7.196	8.518	5.021
102	1522.500	7.242	8.524	5.027
