 	FRAME ()	Y(micron)	X(micron)	Z(micron)
1	00	3.800	2.706	10.120
2	10	3.875	2.781	10.008
3	20	3.856	2.800	10.032
4	30	3.807	2.808	10.102
5	40	3.777	2.841	10.018
6	50	3.788	2.845	10.021
7	60	3.844	2.836	10.070
8	70	3.791	2.851	10.043
9	80	3.869	2.910	10.029
10	90	3.857	2.931	10.046
11	100	3.862	2.919	10.043
12	110	3.866	2.939	10.049
13	120	3.871	2.936	10.105
14	130	3.842	2.952	10.119
15	140	3.871	2.992	10.044
16	150	3.863	3.011	10.028
17	160	3.868	3.009	10.039
18	170	3.875	3.010	10.068
19	180	3.872	3.028	10.037
20	190	3.871	3.020	10.064
21	200	3.896	3.067	10.162
22	210	3.887	3.084	10.086
23	220	3.886	3.083	10.056
24	230	3.882	3.109	10.009
25	240	3.882	3.127	10.032
26	250	3.869	3.137	10.000
27	260	3.894	3.130	10.008
28	270	3.904	3.231	9.846
29	280	3.900	3.215	9.962
30	290	3.911	3.210	10.011
31	300	3.905	3.224	10.035
32	310	3.899	3.237	9.999
33	320	3.901	3.229	9.967
34	330	3.990	3.303	9.996
35	340	3.892	3.297	9.798
36	350	3.899	3.336	9.869
37	360	3.880	3.314	10.027
38	370	3.877	3.310	9.995
39	380	3.888	3.354	10.009
40	390	3.894	3.393	9.996
41	400	3.869	3.406	9.970
42	410	3.857	3.400	9.968
43	420	3.802	3.452	9.857
44	430	3.812	3.441	9.954
45	440	3.783	3.462	9.927
46	450	3.864	3.522	9.819
47	460	3.869	3.512	10.000
48	470	3.774	3.544	9.803
49	480	3.821	3.559	9.859
50	490	3.759	3.554	9.996
51	500	3.855	3.613	9.963
52	510	3.854	3.643	9.812
53	520	3.774	3.653	9.816
54	530	3.778	3.627	9.987
55	540	3.777	3.628	9.988
56	550	3.856	3.660	10.004
57	560	3.855	3.697	9.972
58	570	3.851	3.726	10.004
59	580	3.758	3.605	10.030
60	590	3.730	3.522	9.811
61	620	3.753	2.810	10.007
62	630	3.738	2.532	9.966
63	640	3.740	2.468	9.993
64	650	3.756	2.445	10.021
65	660	3.752	2.492	10.036
66	670	3.808	2.561	10.030
67	680	3.774	2.540	10.027
68	690	3.858	2.536	10.015
69	700	3.861	2.551	10.022
70	710	3.863	2.543	10.034
71	720	3.874	2.550	10.232
72	730	3.856	2.572	10.113
73	740	3.844	2.593	10.078
74	750	3.863	2.647	10.039
75	760	3.863	2.649	10.025
76	770	3.838	2.687	10.004
77	780	3.859	2.720	10.000
78	790	3.862	2.710	9.966
79	800	3.782	2.715	9.780
80	810	3.869	2.812	10.012
81	820	3.872	2.790	9.995
82	830	3.879	2.792	10.000
83	840	3.875	2.803	9.975
84	850	3.866	2.801	10.030
85	860	3.876	2.810	10.016
86	870	3.875	2.886	10.036
87	880	3.876	2.919	9.988
88	890	3.880	2.937	9.975
89	900	3.875	2.937	9.996
90	910	3.859	2.932	9.984
91	920	3.816	2.944	9.949
92	930	3.817	2.936	10.024
93	940	3.790	2.954	9.995
94	950	3.862	3.040	9.975
95	960	3.858	3.047	9.996
96	970	3.833	3.069	10.004
97	980	3.857	3.055	10.025
98	990	3.791	3.078	10.051
99	1000	3.765	3.088	10.055
100	1010	3.757	3.134	9.988
101	1020	3.756	3.147	10.011
102	1030	3.741	3.155	10.001
103	1040	3.737	3.170	10.016
104	1050	3.748	3.166	10.046
105	1060	3.744	3.180	10.030
106	1070	3.755	3.218	10.058
107	1080	3.773	3.232	10.060
108	1090	3.755	3.234	10.051
109	1100	3.744	3.252	10.055
110	1110	3.740	3.254	10.048
111	1120	3.751	3.242	10.204
112	1130	3.765	3.328	10.086
113	1140	3.773	3.334	10.077
114	1150	3.754	3.335	10.074
115	1160	3.766	3.335	10.102
116	1170	3.760	3.345	10.090
117	1180	3.765	3.357	10.216
118	1190	3.773	3.415	10.056
119	1200	3.834	3.447	10.085
120	1210	3.757	3.438	10.202
121	1220	3.768	3.451	10.117
122	1230	3.760	3.449	10.114
123	1240	3.844	3.478	10.083
124	1250	3.866	3.514	10.050
125	1260	3.860	3.512	10.043
126	1270	3.771	3.536	10.049
127	1280	3.853	3.511	10.035
128	1290	3.873	3.563	10.018
129	1300	3.887	3.599	10.062
130	1310	3.857	3.598	10.049
131	1320	3.839	3.587	9.997
132	1330	3.784	3.611	9.997
133	1340	3.849	3.619	10.023
134	1350	3.870	3.678	9.988
135	1360	3.835	3.697	9.827
136	1370	3.796	3.706	10.014
137	1380	3.854	3.644	9.990
138	1390	3.844	3.490	10.080
139	1400	3.857	3.370	10.445
140	1410	3.851	3.199	10.015
141	1420	3.780	2.950	9.798
142	1430	3.765	2.639	9.833
143	1440	3.769	2.585	10.018
144	1450	3.755	2.559	10.002
145	1460	3.853	2.619	10.001
146	1470	3.763	2.660	9.814
147	1480	3.760	2.682	9.802
148	1490	3.771	2.661	9.992
149	1500	3.768	2.688	10.002
150	1510	3.771	2.692	10.023
151	1520	3.750	2.696	9.974
152	1530	3.745	2.773	9.982
153	1540	3.745	2.832	9.864
154	1550	3.749	2.849	9.858
155	1560	3.727	2.841	9.868
156	1570	3.655	2.855	9.825
157	1580	3.647	2.884	9.821
158	1590	3.642	2.876	9.970
159	1600	3.727	2.901	9.980
160	1610	3.730	2.910	9.973
161	1620	3.736	2.936	9.985
162	1630	3.642	2.933	9.985
163	1640	3.703	2.939	10.024
164	1650	3.707	2.940	10.071
165	1660	3.750	3.007	9.968
166	1670	3.747	3.022	9.998
167	1680	3.743	3.022	10.035
168	1690	3.743	3.030	10.013
169	1700	3.643	3.012	10.023
170	1710	3.739	3.043	10.009
171	1720	3.755	3.088	10.055
172	1730	3.745	3.122	9.984
173	1740	3.748	3.111	10.053
174	1750	3.759	3.113	10.010
175	1760	3.754	3.128	10.070
176	1770	3.758	3.120	10.028
177	1780	3.763	3.173	10.041
178	1790	3.784	3.194	10.068
179	1800	3.766	3.200	10.086
180	1810	3.771	3.191	10.059
181	1820	3.784	3.194	10.119
182	1830	3.770	3.202	10.095
183	1840	3.769	3.266	10.046
184	1850	3.771	3.275	10.037
185	1860	3.762	3.294	10.017
186	1870	3.768	3.301	10.002
187	1880	3.802	3.323	10.006
188	1890	3.779	3.335	9.967
189	1900	3.756	3.321	9.979
190	1910	3.842	3.360	9.999
191	1920	3.860	3.418	9.971
192	1930	3.769	3.431	9.955
193	1940	3.768	3.469	9.824
194	1950	3.781	3.480	9.844
195	1960	3.824	3.450	9.940
196	1970	3.761	3.486	9.808
197	1980	3.850	3.496	9.974
198	1990	3.791	3.576	9.781
199	2000	3.756	3.577	9.834
200	2010	3.743	3.605	9.746
201	2020	3.735	3.583	9.792
202	2030	3.739	3.608	9.786
203	2040	3.744	3.644	9.804
204	2050	3.763	3.678	9.775
205	2060	3.758	3.680	9.785
206	2070	3.745	3.680	9.796
207	2080	3.747	3.668	9.806
208	2090	3.678	3.703	9.843
209	2100	3.759	3.755	9.786
210	2110	3.770	3.781	9.768
211	2120	3.760	3.777	9.798
212	2130	3.755	3.723	9.978
213	2140	3.751	3.660	10.010
214	2150	3.738	3.606	9.826
215	2160	3.758	3.471	9.966
216	2170	3.741	3.212	10.013
217	2180	3.718	2.973	9.938
218	2190	3.640	2.795	9.804
219	2200	3.642	2.796	9.803
220	2210	3.626	2.796	9.792
221	2220	3.632	2.865	9.793
222	2230	3.646	2.862	9.812
223	2240	3.717	2.854	9.809
224	2250	3.729	2.870	9.805
225	2260	3.741	2.903	9.818
226	2270	3.741	2.868	9.984
227	2280	3.778	2.944	9.958
228	2290	3.757	2.963	9.852
229	2300	3.748	2.956	9.873
230	2310	3.770	2.949	9.959
231	2320	3.748	2.962	9.937
232	2330	3.735	2.952	9.950
233	2340	3.773	3.019	9.951
234	2350	3.770	3.020	9.986
235	2360	3.764	3.050	9.807
236	2370	3.764	3.036	9.797
237	2380	3.759	3.037	9.969
238	2390	3.837	3.078	9.946
239	2400	3.778	3.121	9.802
240	2410	3.770	3.133	9.794
241	2420	3.769	3.133	9.787
242	2430	3.773	3.126	9.811
243	2440	3.829	3.195	9.845
244	2450	3.768	3.187	9.766
245	2460	3.799	3.206	9.794
246	2470	3.853	3.213	9.775
247	2480	3.784	3.234	9.788
248	2490	3.790	3.210	9.760
249	2500	3.859	3.253	9.796
250	2510	3.835	3.314	9.752
251	2520	3.786	3.316	9.725
252	2530	3.784	3.317	9.799
253	2540	3.766	3.320	9.754
254	2550	3.766	3.345	9.766
255	2560	3.745	3.363	9.749
256	2570	3.755	3.421	9.736
257	2580	3.740	3.448	9.678
258	2590	3.716	3.458	9.791
259	2600	3.727	3.485	9.769
260	2610	3.719	3.483	9.751
261	2620	3.732	3.517	9.771
262	2630	3.747	3.559	9.764
263	2640	3.743	3.557	9.742
264	2650	3.729	3.563	9.793
265	2660	3.730	3.570	9.730
266	2670	3.731	3.577	9.782
267	2680	3.721	3.587	9.859
268	2690	3.748	3.640	9.758
269	2700	3.740	3.640	9.807
270	2710	3.735	3.640	9.767
271	2720	3.739	3.640	9.785
272	2730	3.649	3.662	9.790
273	2740	3.737	3.700	9.784
274	2750	3.748	3.744	9.785
275	2760	3.739	3.739	9.804
276	2770	3.738	3.735	9.776
277	2780	3.749	3.756	9.805
278	2790	3.745	3.735	9.826
279	2800	3.768	3.790	9.809
280	2810	3.768	3.797	9.976
281	2820	3.757	3.741	9.832
282	2830	3.766	3.717	9.852
283	2840	3.750	3.558	9.806
284	2850	3.776	3.483	10.008
285	2860	3.772	3.516	9.960
286	2870	3.772	3.466	9.833
287	2880	3.764	3.507	9.755
288	2890	3.759	3.499	9.788
289	2900	3.770	3.491	9.951
290	2910	3.857	3.542	9.803
291	2920	3.823	3.563	9.775
292	2930	3.797	3.565	9.827
293	2940	3.791	3.576	9.762
294	2950	3.833	3.586	9.763
295	2960	3.859	3.629	9.762
296	2970	3.865	3.682	9.544
297	2980	3.793	3.701	9.619
298	2990	3.760	3.694	9.593
299	3000	3.760	3.687	9.731
300	3010	3.761	3.715	9.598
301	3020	3.777	3.768	9.560
302	3030	3.777	3.772	9.544
303	3040	3.858	3.796	9.536
304	3050	3.768	3.782	9.725
305	3060	3.754	3.799	9.525
306	3070	3.754	3.773	9.698
307	3080	3.772	3.796	9.733
308	3090	3.775	3.842	9.597
309	3100	3.750	3.813	9.653
310	3110	3.743	3.859	9.566
311	3120	3.756	3.866	9.702
312	3130	3.763	3.879	9.695
313	3140	3.770	3.897	9.717
314	3150	3.745	3.935	9.553
315	3160	3.734	3.902	9.710
316	3170	3.742	3.911	9.716
317	3180	3.737	3.937	9.544
318	3190	3.733	3.950	9.611
319	3200	3.720	3.979	9.582
320	3210	3.665	3.968	9.580
321	3220	3.665	3.968	9.598
322	3230	3.651	3.961	9.697
323	3240	3.657	3.943	9.750
324	3250	3.610	3.968	9.529
325	3260	3.593	3.963	9.548
326	3270	3.593	3.974	9.536
327	3280	3.583	3.951	9.568
328	3290	3.540	3.958	9.578
329	3300	3.538	3.960	9.499
330	3310	3.539	3.968	9.536
331	3320	3.548	3.952	9.489
332	3330	3.525	3.977	9.324
333	3340	3.514	3.973	9.311
334	3350	3.517	3.971	9.300
335	3360	3.511	3.970	9.266
336	3370	3.515	3.972	9.259
337	3380	3.510	3.990	9.057
338	3390	3.503	3.987	9.043
339	3400	3.496	3.971	8.979
340	3410	3.483	3.979	8.829
341	3420	3.460	3.959	8.744
342	3430	3.400	3.981	8.549
343	3440	3.364	3.955	8.302
344	3450	3.142	3.925	7.567
345	3460	3.022	4.009	7.074
346	3470	2.908	4.102	6.504
347	3480	2.842	4.198	5.755
348	3490	2.731	4.294	5.029
349	3500	2.485	4.393	4.318
350	3510	2.268	4.511	3.551
351	3520	2.139	4.622	2.955
352	3530	2.000	4.748	2.232
353	3540	2.013	4.895	1.556
354	3550	2.103	5.066	1.022
355	3560	2.160	5.196	0.619
356	3570	2.250	5.375	0.000
