 	EDGE_TIME (sec)	Y Location (mean)(micron)	X Location (mean)(micron)	Z Location (mean)(micron)
1	7.500	9.741	14.906	3.643
2	22.500	9.688	14.656	3.797
3	37.500	9.624	14.432	3.832
4	52.500	9.558	14.096	3.360
5	67.500	9.521	13.683	2.655
6	82.500	9.516	13.325	2.219
7	97.500	9.386	13.043	1.939
8	112.500	9.256	12.814	1.665
9	127.500	9.364	12.625	1.320
10	142.500	9.618	12.336	0.551
11	157.500	9.812	12.188	0.000
12	172.500	9.875	12.312	0.000
13	187.500	9.875	12.500	0.000
14	202.500	9.750	12.688	0.000
15	217.500	9.688	12.875	0.000
16	232.500	9.250	12.812	0.000
17	255.000	8.789	12.169	1.086
18	277.500	8.672	11.329	3.581
19	292.500	8.380	12.372	6.583
20	307.500	8.499	12.080	6.985
21	322.500	8.748	10.285	5.979
22	337.500	8.739	10.130	6.255
23	352.500	8.613	9.835	6.321
24	367.500	8.368	9.671	6.399
25	382.500	8.190	9.685	6.509
26	397.500	8.137	9.591	6.547
27	412.500	8.183	9.462	6.494
28	427.500	8.236	9.310	6.481
29	442.500	8.300	9.056	6.567
30	457.500	8.380	8.664	6.572
31	472.500	8.448	8.280	6.739
32	487.500	8.566	7.970	7.090
33	502.500	8.695	7.689	7.437
34	517.500	8.757	7.394	7.741
35	532.500	8.765	7.124	8.033
36	547.500	8.778	6.914	8.419
37	562.500	8.776	6.747	8.833
38	577.500	8.767	6.607	9.142
39	592.500	8.768	6.488	9.417
40	607.500	8.762	6.421	9.734
41	622.500	8.756	6.325	10.019
42	637.500	8.771	6.171	10.212
43	652.500	8.776	6.085	10.426
44	667.500	8.769	6.038	10.641
45	682.500	8.756	6.036	10.846
46	697.500	8.683	6.159	11.491
47	712.500	8.688	6.125	12.000
48	727.500	8.750	5.938	12.000
