 	EDGE_TIME (sec)	Y Location (mean)(micron)	X Location (mean)(micron)	Z Location (mean)(micron)
1	7.500	10.775	10.668	2.974
2	22.500	10.768	10.624	3.007
3	37.500	10.769	10.636	3.002
4	52.500	10.768	10.662	2.987
5	67.500	10.762	10.650	2.999
6	82.500	10.761	10.653	2.991
7	97.500	10.767	10.651	2.968
8	112.500	10.774	10.618	2.993
9	127.500	10.773	10.608	3.035
10	142.500	10.770	10.647	3.039
11	157.500	10.809	10.654	3.012
12	172.500	10.809	10.625	3.025
13	187.500	10.772	10.628	3.056
14	202.500	10.775	10.624	3.077
15	217.500	10.800	10.657	3.086
16	232.500	10.839	10.711	3.097
17	247.500	10.858	10.703	3.090
18	262.500	10.867	10.693	3.112
19	277.500	10.871	10.710	3.153
20	292.500	10.878	10.735	3.170
21	307.500	10.897	10.787	3.156
22	322.500	10.903	10.813	3.087
23	337.500	10.903	10.824	3.123
24	352.500	10.941	10.854	3.212
25	367.500	10.983	10.874	3.233
26	382.500	11.006	10.916	3.243
27	397.500	11.065	10.981	3.257
28	412.500	11.110	11.037	3.263
29	427.500	11.105	11.081	3.263
30	442.500	11.107	11.094	3.257
31	457.500	11.106	11.100	3.263
32	472.500	11.119	11.142	3.281
33	487.500	11.132	11.177	3.279
34	502.500	11.128	11.181	3.279
35	517.500	11.129	11.200	3.283
36	532.500	11.121	11.209	3.283
37	547.500	11.105	11.219	3.276
38	562.500	11.110	11.269	3.273
39	577.500	11.070	11.304	3.268
40	592.500	11.047	11.308	3.251
41	607.500	11.042	11.315	3.239
42	622.500	11.013	11.318	3.240
43	637.500	11.054	11.341	3.270
44	652.500	11.056	11.375	3.291
45	667.500	11.019	11.400	3.289
46	682.500	11.016	11.402	3.302
47	697.500	11.020	11.379	3.319
48	712.500	11.055	11.372	3.361
49	727.500	11.096	11.422	3.347
50	742.500	11.099	11.471	3.331
51	757.500	11.094	11.473	3.373
52	772.500	11.098	11.482	3.384
53	787.500	11.105	11.514	3.434
54	802.500	11.121	11.554	3.471
55	817.500	11.128	11.584	3.469
56	832.500	11.140	11.589	3.467
57	847.500	11.145	11.608	3.474
58	862.500	11.185	11.642	3.448
59	877.500	11.223	11.668	3.445
60	892.500	11.228	11.719	3.503
61	907.500	11.242	11.770	3.512
62	922.500	11.256	11.778	3.439
63	937.500	11.270	11.803	3.386
64	952.500	11.270	11.840	3.433
65	967.500	11.264	11.873	3.484
66	982.500	11.268	11.891	3.488
67	997.500	11.319	11.897	3.480
68	1012.500	11.351	11.933	3.480
69	1027.500	11.354	11.966	3.506
70	1050.000	11.262	11.664	3.362
71	1072.500	11.146	11.254	3.084
72	1087.500	11.079	10.926	2.925
73	1102.500	10.966	10.502	2.871
74	1117.500	10.943	10.329	2.909
75	1132.500	10.986	10.368	2.960
76	1147.500	10.957	10.418	2.939
77	1162.500	10.953	10.440	2.928
78	1177.500	10.990	10.445	2.958
79	1192.500	10.985	10.438	2.969
80	1207.500	10.939	10.392	2.978
81	1222.500	10.898	10.348	2.997
82	1237.500	10.939	10.365	2.994
83	1252.500	10.980	10.404	2.990
84	1267.500	10.974	10.387	3.017
85	1282.500	10.968	10.363	3.035
86	1297.500	10.958	10.351	3.068
87	1312.500	10.923	10.348	3.124
88	1327.500	10.936	10.356	3.154
89	1342.500	10.982	10.387	3.123
90	1357.500	10.977	10.431	3.111
91	1372.500	10.974	10.438	3.111
92	1387.500	10.950	10.441	3.128
93	1402.500	10.947	10.451	3.141
94	1417.500	11.002	10.478	3.098
95	1432.500	11.063	10.524	3.067
96	1447.500	11.083	10.556	3.073
97	1462.500	11.047	10.574	3.120
